City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
475,Hidalgo,MX,20.5,-99.0,77.02,41,15,13.94,few clouds,2021-08-07 20:20:47
476,Sinjai,ID,-5.1241,120.253,78.19,78,100,4.07,overcast clouds,2021-08-07 20:20:47
477,Ostrovnoy,RU,68.0531,39.5131,55.63,83,15,9.48,few clouds,2021-08-07 20:20:48
478,Tual,ID,-5.6667,132.75,80.31,79,69,22.46,broken clouds,2021-08-07 20:20:48
479,Vao,NC,-22.6667,167.4833,67.23,65,100,7.58,overcast clouds,2021-08-07 20:20:48
480,Kargasok,RU,59.0556,80.8572,61.77,88,76,5.39,broken clouds,2021-08-07 20:20:49
481,Mayo,US,38.8876,-76.5119,77.38,91,75,1.99,light rain,2021-08-07 20:20:49
482,Khandyga,RU,62.6667,135.6,55.9,64,7,2.44,clear sky,2021-08-07 20:20:49
483,Matara,LK,5.9485,80.5353,77.63,88,100,13.4,overcast clouds,2021-08-07 20:19:51
484,Kloulklubed,PW,7.0419,134.2556,79.3,80,100,7.92,moderate rain,2021-08-07 20:20:50
485,San Quintin,MX,30.4833,-115.95,73.89,66,4,10.63,clear sky,2021-08-07 20:20:50
486,Qalyub,EG,30.1792,31.2056,88.59,56,0,10.31,clear sky,2021-08-07 20:20:50
487,Poya,NC,-21.35,165.15,64.09,78,100,3.53,light rain,2021-08-07 20:20:51
488,Canto Do Buriti,BR,-8.11,-42.9444,87.69,29,1,10.71,clear sky,2021-08-07 20:20:51
489,Alta Floresta,BR,-9.8756,-56.0861,94.82,21,20,3.44,few clouds,2021-08-07 20:20:51
490,Kampot,KH,10.6167,104.1833,79.16,88,99,6.58,overcast clouds,2021-08-07 20:20:52
491,Wanning,CN,18.8003,110.3967,81.34,89,100,10.0,overcast clouds,2021-08-07 20:20:52
492,Bengkulu,ID,-3.8004,102.2655,75.76,91,11,3.6,few clouds,2021-08-07 20:20:52
493,Ukiah,US,39.1502,-123.2078,101.12,23,40,5.75,scattered clouds,2021-08-07 20:20:52
494,Manitouwadge,CA,49.1215,-85.8403,66.92,34,95,5.88,overcast clouds,2021-08-07 20:20:53
495,Atasu,KZ,48.6814,71.6433,68.59,61,88,3.51,overcast clouds,2021-08-07 20:20:53
496,Nakamura,JP,32.9833,132.9333,76.1,94,97,3.02,overcast clouds,2021-08-07 20:20:53
497,Togur,RU,58.3631,82.8265,59.94,94,96,4.9,overcast clouds,2021-08-07 20:20:54
498,Quatre Cocos,MU,-20.2078,57.7625,70.09,77,61,11.01,light rain,2021-08-07 20:20:54
499,Xinzhou,CN,38.4092,112.7333,68.07,85,62,1.57,broken clouds,2021-08-07 20:20:54
500,Leopold,AU,-38.1833,144.4667,47.64,95,66,5.01,broken clouds,2021-08-07 20:20:55
501,Huarmey,PE,-10.0681,-78.1522,69.33,70,0,13.89,clear sky,2021-08-07 20:20:55
502,Lufkin,US,31.3382,-94.7291,91.6,41,56,6.89,broken clouds,2021-08-07 20:20:55
503,Santa Maria Di Sala,IT,45.5069,12.0297,78.69,79,23,9.62,few clouds,2021-08-07 20:20:56
504,Mazatlan,MX,23.2167,-106.4167,87.91,77,75,5.99,broken clouds,2021-08-07 20:19:52
505,Marang,MY,5.2056,103.2059,80.51,82,73,1.57,broken clouds,2021-08-07 20:20:56
506,Bairiki,KI,1.3292,172.9752,82.4,69,20,5.75,few clouds,2021-08-07 20:20:56
507,Pak Thong Chai,TH,14.7226,102.0251,76.86,88,100,4.47,overcast clouds,2021-08-07 20:20:57
508,Pouebo,NC,-20.4,164.5667,65.98,75,90,8.05,overcast clouds,2021-08-07 20:20:57
509,Umba,RU,66.6871,34.3429,52.23,76,1,4.83,clear sky,2021-08-07 20:20:57
510,Namatanai,PG,-3.6667,152.4333,77.4,82,79,6.06,moderate rain,2021-08-07 20:18:19
511,Takhtamygda,RU,54.1,123.5667,57.65,98,100,6.22,light rain,2021-08-07 20:20:57
512,Mujiayingzi,CN,42.1167,118.7833,66.7,61,5,5.46,clear sky,2021-08-07 20:20:58
513,Savalou,BJ,7.9281,1.9756,75.16,85,70,3.33,broken clouds,2021-08-07 20:20:58
514,Saint-Pierre,RE,-21.3393,55.4781,71.24,76,20,4.61,few clouds,2021-08-07 20:20:58
515,La Palma,US,33.8464,-118.0467,102.76,63,1,5.01,clear sky,2021-08-07 20:20:59
516,Maragogi,BR,-9.0122,-35.2225,74.46,74,67,15.95,broken clouds,2021-08-07 20:20:59
517,Maturin,VE,9.75,-63.1767,88.23,58,15,2.37,few clouds,2021-08-07 20:20:59
518,Carman,CA,49.4992,-98.0016,87.91,32,75,11.5,broken clouds,2021-08-07 20:20:04
